"Date","Price","Open","High","Low","Vol.","Change %"
"12/02/2024","69.24","68.50","69.64","68.50","6.45K","0.17%"
"11/29/2024","69.12","69.49","69.50","68.71","12.62K","0.00%"
"11/27/2024","69.12","69.88","70.77","68.89","17.22K","-0.63%"
"11/26/2024","69.56","69.40","70.65","68.72","14.43K","-0.34%"
"11/25/2024","69.80","70.75","71.42","69.70","15.85K","-1.15%"
"11/22/2024","70.61","69.99","72.30","69.76","15.16K","1.38%"
"11/21/2024","69.65","69.04","69.98","68.71","14.81K","1.21%"
"11/20/2024","68.82","69.31","69.31","68.04","10.14K","0.07%"
"11/19/2024","68.77","68.35","69.19","67.88","9.61K","0.64%"
"11/18/2024","68.33","68.64","69.39","68.16","14.03K","0.34%"
"11/15/2024","68.10","69.44","69.44","67.55","14.45K","-1.26%"
"11/14/2024","68.97","68.99","69.42","68.33","16.56K","0.39%"
"11/13/2024","68.70","68.44","70.22","68.25","17.43K","1.49%"
"11/12/2024","67.69","71.69","71.91","66.92","34.14K","-5.75%"
"11/11/2024","71.82","72.46","72.46","69.28","39.52K","-2.09%"
"11/08/2024","73.35","73.96","74.35","72.87","10.93K","-0.66%"
"11/07/2024","73.84","75.33","75.33","73.50","13.77K","-1.34%"
"11/06/2024","74.84","72.92","76.40","72.88","30.22K","4.00%"
"11/05/2024","71.96","69.00","71.96","69.00","15.55K","4.06%"
"11/04/2024","69.15","67.84","69.78","67.84","21.53K","2.05%"
"11/01/2024","67.76","67.98","68.47","67.24","11.67K","-0.13%"
"10/31/2024","67.85","68.40","68.71","67.58","7.79K","-0.45%"
"10/30/2024","68.16","68.36","68.78","68.16","7.23K","-0.93%"
"10/29/2024","68.80","68.70","69.13","68.50","11.62K","0.07%"
"10/28/2024","68.75","69.77","70.08","68.52","14.10K","-1.65%"
"10/25/2024","69.90","69.81","71.09","69.81","8.99K","0.07%"
"10/24/2024","69.85","68.56","69.93","68.13","15.47K","2.80%"
"10/23/2024","67.95","67.31","67.99","67.02","8.58K","0.31%"
"10/22/2024","67.74","68.79","69.00","67.35","9.04K","-1.01%"
"10/21/2024","68.43","69.85","69.95","68.30","11.76K","-1.54%"
"10/18/2024","69.50","70.52","70.82","68.78","26.29K","-1.38%"
"10/17/2024","70.47","69.31","70.56","69.06","10.76K","1.21%"
"10/16/2024","69.63","68.53","70.45","68.53","18.03K","1.90%"
